County,No Deaths (<365 days),No Live Births,Infant Mortality Rate,CI
All,1942.00,319625.00,6.10,5.8 - 6.3
ADAMS,X,637.00,4.70,0.0 - 10.0
ASHLAND,7.00,819.00,8.50,2.2 - 14.9
BARRON,12.00,2419.00,5.00,2.2 - 7.8
BAYFIELD,X,590.00,3.40,0.0 - 8.1
BROWN,108.00,15877.00,6.80,5.5 - 8.1
BUFFALO,X,638.00,3.10,0.0 - 7.5
BURNETT,X,609.00,4.90,0.0 - 10.5
CALUMET,11.00,2411.00,4.60,1.9 - 7.3
CHIPPEWA,14.00,3378.00,4.10,2.0 - 6.3
CLARK,15.00,2875.00,5.20,2.6 - 7.9
COLUMBIA,10.00,2908.00,3.40,1.3 - 5.6
CRAWFORD,5.00,805.00,6.20,0.8 - 11.6
DANE,150.00,29124.00,5.20,4.3 - 6.0
DODGE,19.00,3865.00,4.90,2.7 - 7.1
DOOR,X,1044.00,1.90,0.0 - 4.6
DOUGLAS,13.00,2043.00,6.40,2.9 - 9.8
DUNN,14.00,2140.00,6.50,3.1 - 10.0
EAU CLAIRE,30.00,5758.00,5.20,3.4 - 7.1
FOND DU LAC,29.00,5163.00,5.60,3.6 - 7.7
FOREST,7.00,511.00,13.70,3.6 - 23.8
GRANT,18.00,2851.00,6.30,3.4 - 9.2
GREEN,10.00,1769.00,5.70,2.2 - 9.1
GREEN LAKE,8.00,994.00,8.00,2.5 - 13.6
IOWA,X,1266.00,2.40,0.0 - 5.0
IRON,X,183.00,5.50,0.0 - 16.1
JACKSON,8.00,1151.00,7.00,2.2 - 11.8
JEFFERSON,18.00,4100.00,4.40,2.4 - 6.4
JUNEAU,X,1287.00,2.30,0.0 - 5.0
KENOSHA,50.00,9146.00,5.50,4.0 - 7.0
KEWAUNEE,X,982.00,3.10,0.0 - 6.5
LA CROSSE,35.00,5797.00,6.00,4.0 - 8.0
LAFAYETTE,10.00,1099.00,9.10,3.5 - 14.7
LANGLADE,5.00,995.00,5.00,0.6 - 9.4
LINCOLN,8.00,1313.00,6.10,1.9 - 10.3
MANITOWOC,18.00,3835.00,4.70,2.5 - 6.9
MARATHON,22.00,7578.00,2.90,1.7 - 4.1
MARINETTE,8.00,1855.00,4.30,1.3 - 7.3
MARQUETTE,X,689.00,1.50,0.0 - 4.3
MENOMINEE,X,433.00,9.20,0.2 - 18.2
MILWAUKEE,571.00,65457.00,8.70,8.0 - 9.4
MONROE,20.00,2866.00,7.00,3.9 - 10.0
OCONTO,6.00,1830.00,3.30,0.7 - 5.9
ONEIDA,9.00,1501.00,6.00,2.1 - 9.9
OUTAGAMIE,62.00,11009.00,5.60,4.2 - 7.0
OZAUKEE,18.00,4146.00,4.30,2.3 - 6.3
PEPIN,X,420.00,7.10,0.0 - 15.2
PIERCE,6.00,1855.00,3.20,0.7 - 5.8
POLK,9.00,2007.00,4.50,1.6 - 7.4
PORTAGE,13.00,3238.00,4.00,1.8 - 6.2
PRICE,X,537.00,3.70,0.0 - 8.9
RACINE,95.00,11432.00,8.30,6.6 - 10.0
RICHLAND,X,848.00,4.70,0.1 - 9.3
ROCK,53.00,9499.00,5.60,4.1 - 7.1
RUSK,X,695.00,2.90,0.0 - 6.9
ST. CROIX,19.00,4967.00,3.80,2.1 - 5.5
SAUK,22.00,3713.00,5.90,3.5 - 8.4
SAWYER,6.00,740.00,8.10,1.6 - 14.6
SHAWANO,22.00,2179.00,10.10,5.9 - 14.3
SHEBOYGAN,35.00,6061.00,5.80,3.9 - 7.7
TAYLOR,7.00,1098.00,6.40,1.7 - 11.1
TREMPEALEAU,17.00,2086.00,8.10,4.3 - 12.0
VERNON,11.00,2079.00,5.30,2.2 - 8.4
VILAS,5.00,849.00,5.90,0.7 - 11.0
WALWORTH,23.00,4606.00,5.00,3.0 - 7.0
WASHBURN,X,655.00,4.60,0.0 - 9.8
WASHINGTON,23.00,6374.00,3.60,2.1 - 5.1
WAUKESHA,91.00,19259.00,4.70,3.8 - 5.7
WAUPACA,10.00,2525.00,4.00,1.5 - 6.4
WAUSHARA,X,1024.00,2.90,0.0 - 6.2
WINNEBAGO,51.00,8980.00,5.70,4.1 - 7.2
WOOD,31.00,3974.00,7.80,5.1 - 10.5