Job,Estimate,Margin of Error,Sex,Occupation Group,,
Management business and financial occupations,217066.00,6456.00,Male,Management business science and arts occupations,,
Management occupations,159689.00,4740.00,Male,Management business science and arts occupations,,
Business and financial operations occupations,57377.00,3395.00,Male,Management business science and arts occupations,,
Computer engineering and science occupations,119574.00,4847.00,Male,Management business science and arts occupations,,
Computer and mathematical occupations,54762.00,3542.00,Male,Management business science and arts occupations,,
Architecture and engineering occupations,50812.00,3275.00,Male,Management business science and arts occupations,,
Life physical and social science occupations,14000.00,1711.00,Male,Management business science and arts occupations,,
Education legal community service arts and media occupations,65034.00,3382.00,Male,Management business science and arts occupations,,
Community and social service occupations,13092.00,2044.00,Male,Management business science and arts occupations,,
Legal occupations,7311.00,1359.00,Male,Management business science and arts occupations,,
Educational instruction and library occupations,29647.00,2295.00,Male,Management business science and arts occupations,,
Arts design entertainment sports and media occupations,14984.00,1506.00,Male,Management business science and arts occupations,,
Healthcare practitioners and technical occupations,29997.00,2665.00,Male,Management business science and arts occupations,,
Health diagnosing and treating practitioners and other technical occupations,21755.00,2141.00,Male,Management business science and arts occupations,,
Health technologists and technicians,8242.00,1433.00,Male,Management business science and arts occupations,,
Healthcare support occupations,8706.00,1688.00,Male,Service occupations,,
Protective service occupations,30729.00,2811.00,Male,Service occupations,,
Firefighting and prevention and other protective service workers including supervisors,12108.00,2051.00,Male,Service occupations,,
Law enforcement workers including supervisors,18621.00,1894.00,Male,Service occupations,,
Food preparation and serving related occupations,29065.00,3433.00,Male,Service occupations,,
Building and grounds cleaning and maintenance occupations,36782.00,3079.00,Male,Service occupations,,
Personal care and service occupations,7278.00,1342.00,Male,Service occupations,,
Sales and office occupations,152732.00,5824.00,Male,Service occupations,,
Sales and related occupations,98625.00,4493.00,Male,Service occupations,,
Office and administrative support occupations,54107.00,3296.00,Male,Service occupations,,
Farming fishing and forestry occupations,11944.00,1257.00,Male,Natural resources construction and maintenance occupations,,
Construction and extraction occupations,101539.00,5202.00,Male,Natural resources construction and maintenance occupations,,
Installation maintenance and repair occupations,80867.00,3983.00,Male,Natural resources construction and maintenance occupations,,
Production occupations,182205.00,6454.00,Male,Production transportation and material moving occupations,,
Transportation occupations,66971.00,4122.00,Male,Production transportation and material moving occupations,,
Material moving occupations,65830.00,3341.00,Male,Production transportation and material moving occupations,,
Management business and financial occupations,181334.00,6104.00,Female,Management business science and arts occupations,,
Management occupations,107903.00,4580.00,Female,Management business science and arts occupations,,
Business and financial operations occupations,73431.00,4057.00,Female,Management business science and arts occupations,,
Computer engineering and science occupations,39288.00,2823.00,Female,Management business science and arts occupations,,
Computer and mathematical occupations,19746.00,2155.00,Female,Management business science and arts occupations,,
Architecture and engineering occupations,7722.00,1180.00,Female,Management business science and arts occupations,,
Life physical and social science occupations,11820.00,1665.00,Female,Management business science and arts occupations,,
Education legal community service arts and media occupations,123495.00,5357.00,Female,Management business science and arts occupations,,
Community and social service occupations,24491.00,2106.00,Female,Management business science and arts occupations,,
Legal occupations,9015.00,1302.00,Female,Management business science and arts occupations,,
Educational instruction and library occupations,75755.00,4126.00,Female,Management business science and arts occupations,,
Arts design entertainment sports and media occupations,14234.00,1489.00,Female,Management business science and arts occupations,,
Healthcare practitioners and technical occupations,100871.00,5007.00,Female,Management business science and arts occupations,,
Health diagnosing and treating practitioners and other technical occupations,72220.00,4191.00,Female,Management business science and arts occupations,,
Health technologists and technicians,28651.00,2229.00,Female,Management business science and arts occupations,,
Healthcare support occupations,51179.00,3769.00,Female,Service occupations,,
Protective service occupations,6998.00,1359.00,Female,Service occupations,,
Firefighting and prevention and other protective service workers including supervisors,2961.00,903.00,Female,Service occupations,,
Law enforcement workers including supervisors,4037.00,938.00,Female,Service occupations,,
Food preparation and serving related occupations,29103.00,3344.00,Female,Service occupations,,
Building and grounds cleaning and maintenance occupations,14654.00,1787.00,Female,Service occupations,,
Personal care and service occupations,26181.00,2607.00,Female,Service occupations,,
Sales and office occupations,246480.00,6841.00,Female,Service occupations,,
Sales and related occupations,72765.00,4051.00,Female,Service occupations,,
Office and administrative support occupations,173715.00,5573.00,Female,Service occupations,,
Farming fishing and forestry occupations,4317.00,888.00,Female,Natural resources construction and maintenance occupations,,
Construction and extraction occupations,3391.00,828.00,Female,Natural resources construction and maintenance occupations,,
Installation maintenance and repair occupations,4086.00,1099.00,Female,Natural resources construction and maintenance occupations,,
Production occupations,64419.00,3930.00,Female,Production transportation and material moving occupations,,
Transportation occupations,6589.00,1648.00,Female,Production transportation and material moving occupations,,
Material moving occupations,22630.00,2328.00,Female,Production transportation and material moving occupations,,